StatZone,בעל המשימה
623,בטחון
621,בטחון
623,בטחון
632,בטחון
632,בטחון
632,בטחון
621,בטחון
633,בטחון
631,בטחון
632,בטחון
623,בטחון
623,בטחון
641,בטחון
634,רווחה הדר/עיר תחתית
621,בטחון
632,בטחון
641,בטחון
634,בטחון
633,רווחה הדר/עיר תחתית
621,בטחון
611,בטחון
621,בטחון
621,בטחון
611,בטחון
623,בטחון
632,בטחון
631,בטחון
631,בטחון
623,בטחון
622,בטחון
623,בטחון
621,בטחון
621,בטחון
613,בטחון
612,בטחון
634,בטחון
623,בטחון
633,רווחה הדר/עיר תחתית
611,בטחון
623,בטחון
621,בטחון
623,בטחון
621,בטחון
623,בטחון
633,בטחון
634,בטחון
613,בטחון
613,בטחון
623,בטחון
632,בטחון
613,בטחון
612,בטחון
623,בטחון
622,בטחון
623,בטחון
622,בטחון
623,בטחון
623,בטחון
623,בטחון
623,בטחון
631,בטחון
634,בטחון
613,בטחון
642,בטחון
621,בטחון
633,בטחון
622,בטחון
631,בטחון
631,בטחון
611,בטחון
641,בטחון
612,בטחון
621,בטחון
632,בטחון
623,בטחון
632,בטחון
631,רווחה הדר/עיר תחתית
642,בטחון
632,בטחון
623,בטחון
623,בטחון
631,בטחון
623,בטחון
634,בטחון
611,בטחון
612,בטחון
611,בטחון
643,בטחון
633,בטחון
631,בטחון
613,בטחון
621,בטחון
634,בטחון
641,בטחון
623,בטחון
633,בטחון
642,בטחון
621,בטחון
621,בטחון
633,בטחון
634,בטחון
633,בטחון
632,בטחון
632,בטחון
633,בטחון
633,רווחה הדר/עיר תחתית
634,בטחון
622,בטחון
621,בטחון
631,בטחון
634,בטחון
623,בטחון
632,בטחון
642,בטחון
612,בטחון
613,בטחון
621,בטחון
641,בטחון
633,בטחון
631,בטחון
633,בטחון
644,בטחון
613,בטחון
623,בטחון
643,בטחון
634,בטחון
634,בטחון
613,בטחון
622,בטחון
641,בטחון
632,בטחון
621,בטחון
621,בטחון
621,בטחון
634,בטחון
634,בטחון
622,בטחון
611,בטחון
611,בטחון
621,בטחון
634,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
623,רווחה הדר/עיר תחתית
634,בטחון
621,רווחה הדר/עיר תחתית
613,בטחון
623,בטחון
622,בטחון
622,בטחון
622,בטחון
642,בטחון
642,רווחה הדר/עיר תחתית
621,בטחון
623,בטחון
611,בטחון
631,בטחון
611,בטחון
641,בטחון
634,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
613,בטחון
634,בטחון
623,בטחון
642,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
622,בטחון
633,רווחה הדר/עיר תחתית
622,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
623,בטחון
641,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
643,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
611,רווחה הדר/עיר תחתית
643,רווחה הדר/עיר תחתית
623,בטחון
613,בטחון
641,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
612,בטחון
613,בטחון
623,בטחון
633,בטחון
634,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
623,בטחון
632,בטחון
631,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
643,רווחה הדר/עיר תחתית
613,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
631,בטחון
622,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
623,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
643,רווחה הדר/עיר תחתית
644,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
631,בטחון
623,רווחה הדר/עיר תחתית
622,בטחון
642,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
612,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
644,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
623,בטחון
634,רווחה הדר/עיר תחתית
621,בטחון
641,רווחה הדר/עיר תחתית
643,בטחון
642,רווחה הדר/עיר תחתית
643,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
612,רווחה הדר/עיר תחתית
612,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
623,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
611,רווחה הדר/עיר תחתית
632,בטחון
632,בטחון
622,בטחון
634,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
612,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
633,בטחון
641,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
622,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
613,בטחון
642,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
643,רווחה הדר/עיר תחתית
613,רווחה הדר/עיר תחתית
622,בטחון
634,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
631,בטחון
631,בטחון
634,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
621,רווחה הדר/עיר תחתית
634,בטחון
634,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
631,בטחון
634,בטחון
632,בטחון
631,רווחה הדר/עיר תחתית
622,בטחון
632,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
622,רווחה הדר/עיר תחתית
622,רווחה הדר/עיר תחתית
622,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
613,בטחון
644,בטחון
612,רווחה הדר/עיר תחתית
612,רווחה הדר/עיר תחתית
622,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
642,בטחון
642,בטחון
642,בטחון
621,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
621,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
613,בטחון
641,בטחון
642,בטחון
642,בטחון
642,בטחון
642,בטחון
622,בטחון
631,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
613,בטחון
641,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
622,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
642,בטחון
632,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
643,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
621,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
643,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
621,רווחה הדר/עיר תחתית
631,בטחון
613,בטחון
634,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
613,רווחה הדר/עיר תחתית
643,רווחה הדר/עיר תחתית
613,רווחה הדר/עיר תחתית
634,בטחון
613,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
643,בטחון
621,בטחון
623,בטחון
642,רווחה הדר/עיר תחתית
621,בטחון
633,בטחון
613,בטחון
644,בטחון
634,בטחון
622,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
633,בטחון
631,בטחון
641,רווחה הדר/עיר תחתית
634,בטחון
613,בטחון
631,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
613,בטחון
631,רווחה הדר/עיר תחתית
634,בטחון
633,רווחה הדר/עיר תחתית
633,בטחון
633,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
634,בטחון
611,בטחון
621,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
611,בטחון
634,בטחון
634,בטחון
622,בטחון
611,בטחון
631,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
642,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
622,רווחה הדר/עיר תחתית
611,בטחון
622,בטחון
613,בטחון
642,רווחה הדר/עיר תחתית
613,רווחה הדר/עיר תחתית
622,בטחון
621,בטחון
642,רווחה הדר/עיר תחתית
632,רווחה הדר/עיר תחתית
634,בטחון
621,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
634,בטחון
634,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
631,רווחה הדר/עיר תחתית
633,רווחה הדר/עיר תחתית
641,רווחה הדר/עיר תחתית
621,בטחון
634,בטחון
634,בטחון
632,רווחה הדר/עיר תחתית
611,בטחון
642,רווחה הדר/עיר תחתית
622,רווחה הדר/עיר תחתית
634,רווחה הדר/עיר תחתית
621,בטחון
634,רווחה הדר/עיר תחתית
623,בטחון
613,בטחון
