,Subject,Description,Value,Percent_comparison
0,Crime,Total Crimes in Current Semi-Year,4033,-7.37
1,Demographics,Total Population,43413,0.0
2,Demographics,Total Haredi Population,15312,1.24
3,Demographics,Average Salary,8105,-0.26
4,Elderly,Number of Senior Citizens,500,0.0
5,Elderly,Number of Lone Senior Citizens,316.0,9.34
6,Elderly,Number of Recieving Food Senior Citizens,77.0,-11.49
7,Elderly,Number of Holocaust Srvivors,910,-5.8
8,Elderly,Number of Unrecognized Holocaust Srvivors,545,-5.71
